abstract,authors,keywords,submission_date,title,tldr,type,url
"One of the challenges in the study of generative adversarial networks is the instability of its training. 
        In this paper, we propose a novel weight normalization technique called spectral normalization to stabilize the training of the discriminator.
        Our new normalization technique is computationally light and easy to incorporate into existing implementations. 
        We tested the efficacy of spectral normalization on CIFAR10, STL-10, and ILSVRC2012 dataset, and we experimentally confirmed that spectrally normalized GANs (SN-GANs) is capable of generating images of better or equal quality relative to the previous training stabilization techniques. ",['Takeru Miyato · Toshiki Kataoka · Masanori Koyama · Yuichi Yoshida'],"Generative Adversarial Networks, Deep Generative Models, Unsupervised Learning","Feb 15, 2018 (modified: Feb 16, 2018)",['Spectral Normalization for Generative Adversarial Networks'],We propose a novel weight normalization technique called spectral normalization to stabilize the training of the discriminator of GANs.,Oral,https://openreview.net/forum?id=B1QRgziT-
"Generative models provide a way to model structure in complex distributions and have been shown to be useful for many tasks of practical interest. However, current techniques for training generative models require access to fully-observed samples. In many settings, it is expensive or even impossible to obtain fully-observed samples, but economical to obtain partial, noisy observations. We consider the task of learning an implicit generative model given only lossy measurements of samples from the distribution of interest. We show that the true underlying distribution can be provably recovered even in the presence of per-sample information loss for a class of measurement models. Based on this, we propose a new method of training Generative Adversarial Networks (GANs) which we call AmbientGAN. On three benchmark datasets, and for various measurement models, we demonstrate substantial qualitative and quantitative improvements. Generative models trained with our method can obtain $2$-$4$x higher inception scores than the baselines.",['Ashish Bora · Eric Price · Alexandros Dimakis'],"Generative models, Adversarial networks, Lossy measurements","Feb 15, 2018 (modified: Feb 23, 2018)",['AmbientGAN: Generative models from lossy measurements'],"How to learn GANs from noisy, distorted, partial observations",Oral,https://openreview.net/forum?id=Hy7fDog0b
"We describe a new training methodology for generative adversarial networks. The key idea is to grow both the generator and discriminator progressively: starting from a low resolution, we add new layers that model increasingly fine details as training progresses. This both speeds the training up and greatly stabilizes it, allowing us to produce images of unprecedented quality, e.g., CelebA images at 1024^2. We also propose a simple way to increase the variation in generated images, and achieve a record inception score of 8.80 in unsupervised CIFAR10. Additionally, we describe several implementation details that are important for discouraging unhealthy competition between the generator and discriminator. Finally, we suggest a new metric for evaluating GAN results, both in terms of image quality and variation. As an additional contribution, we construct a higher-quality version of the CelebA dataset.",['Tero Karras · Timo Aila · Samuli   Laine · Jaakko Lehtinen'],"generative adversarial networks, unsupervised learning, hierarchical methods","Feb 15, 2018 (modified: Feb 23, 2018)","['Progressive Growing of GANs for Improved Quality, Stability, and Variation']","We train generative adversarial networks in a progressive fashion, enabling us to generate high-resolution images with high quality.",Oral,https://openreview.net/forum?id=Hk99zCeAb
"We propose the Wasserstein Auto-Encoder (WAE)---a new algorithm for building a generative model of the data distribution. WAE minimizes a penalized form of the Wasserstein distance between the model distribution and the target distribution, which leads to a different regularizer than the one used by the Variational Auto-Encoder (VAE).
        This regularizer encourages the encoded training distribution to match the prior. We compare our algorithm with several other techniques and show that it is a generalization of adversarial auto-encoders (AAE). Our experiments show that WAE shares many of the properties of VAEs (stable training, encoder-decoder architecture, nice latent manifold structure) while generating samples of better quality.",['Ilya Tolstikhin · Olivier Bousquet · Sylvain Gelly · Bernhard   Schoelkopf'],"auto-encoder, generative models, GAN, VAE, unsupervised learning","Feb 15, 2018 (modified: Feb 20, 2018)",['Wasserstein Auto-Encoders'],"We propose a new auto-encoder based on the Wasserstein distance, which improves on the sampling properties of VAE.",Oral,https://openreview.net/forum?id=HkL7n1-0b
" Several recently proposed stochastic optimization methods that have been successfully used in training deep networks such as RMSProp, Adam, Adadelta, Nadam are based on using gradient updates scaled by square roots of exponential moving averages of squared past gradients. In many applications, e.g. learning with large output spaces, it has been empirically observed that these algorithms fail to converge to an optimal solution (or a critical point in nonconvex settings). We show that one cause for such failures is the exponential moving average used in the algorithms. We provide an explicit example of a simple convex optimization setting where Adam does not converge to the optimal solution, and describe the precise problems with the previous analysis of Adam algorithm. Our analysis suggests that the convergence issues can be fixed by endowing such algorithms with ``long-term memory'' of past gradients, and propose new variants of the Adam algorithm which not only fix the convergence issues but often also lead to improved empirical performance.",['Sashank Reddi · Satyen Kale · Sanjiv Kumar'],"optimization, deep learning, adam, rmsprop","Feb 15, 2018 (modified: Mar 27, 2018)",['On the Convergence of Adam and Beyond'],"We investigate the convergence of popular optimization algorithms like Adam , RMSProp and propose new variants of these methods which provably converge to optimal solution in convex  settings. ",Oral,https://openreview.net/forum?id=ryQu7f-RZ
"Momentum based stochastic gradient methods such as heavy ball (HB) and Nesterov's accelerated gradient descent (NAG) method are widely used in practice for training deep networks and other supervised learning models, as they often provide significant improvements over stochastic gradient descent (SGD). Rigorously speaking, fast gradient methods have provable improvements over gradient descent only for the deterministic case, where the gradients are exact. In the stochastic case, the popular explanations for their wide applicability is that when these fast gradient methods are applied in the stochastic case, they partially mimic their exact gradient counterparts, resulting in some practical gain. This work provides a counterpoint to this belief by proving that there exist simple problem instances where these methods cannot outperform SGD despite the best setting of its parameters. These negative problem instances are, in an informal sense, generic; they do not look like carefully constructed pathological instances. These results suggest (along with empirical evidence) that HB or NAG's practical performance gains are a by-product of minibatching.
        
        Furthermore, this work provides a viable (and provable) alternative, which, on the same set of problem instances, significantly improves over HB, NAG, and SGD's performance. This algorithm, referred to as Accelerated Stochastic Gradient Descent (ASGD), is a simple to implement stochastic algorithm, based on a relatively less popular variant of Nesterov's Acceleration. Extensive empirical results in this paper show that ASGD has performance gains over HB, NAG, and SGD. The code for implementing the ASGD Algorithm can be found at https://github.com/rahulkidambi/AccSGD.
        ",['Rahul Kidambi · Praneeth Netrapalli · Prateek   Jain · Sham M Kakade'],"Stochastic Gradient Descent, Deep Learning, Momentum, Acceleration, Heavy Ball, Nesterov Acceleration, Stochastic Optimization, SGD, Accelerated Stochastic Gradient Descent","Feb 15, 2018 (modified: Feb 23, 2018)",['On the insufficiency of existing momentum schemes for Stochastic Optimization'],"Existing momentum/acceleration schemes such as heavy ball method and Nesterov's acceleration employed with stochastic gradients do not improve over vanilla stochastic gradient descent, especially when employed with small batch sizes.",Oral,https://openreview.net/forum?id=rJTutzbA-
"Learning tasks on source code (i.e., formal languages) have been considered recently, but most work has tried to transfer natural language methods and does not capitalize on the unique opportunities offered by code's known syntax. For example, long-range dependencies induced by using the same variable or function in distant locations are often not considered. We propose to use graphs to represent both the syntactic and semantic structure of code and use graph-based deep learning methods to learn to reason over program structures.
        
        In this work, we present how to construct graphs from source code and how to scale Gated Graph Neural Networks training to such large graphs. We evaluate our method on two tasks: VarNaming, in which a network attempts to predict the name of a variable given its usage, and VarMisuse, in which the network learns to reason about selecting the correct variable that should be used at a given program location. Our comparison to methods that use less structured program representations shows the advantages of modeling known structure, and suggests that our models learn to infer meaningful names and to solve the VarMisuse task in many cases. Additionally, our testing showed that VarMisuse identifies a number of bugs in mature open-source projects.",['Miltiadis Allamanis · Marc Brockschmidt · Mahmoud Khademi'],"programs, source code, graph neural networks","Feb 15, 2018 (modified: Feb 22, 2018)",['Learning to Represent Programs with Graphs'],"Programs have structure that can be represented as graphs, and graph neural networks can learn to find bugs on such graphs",Oral,https://openreview.net/forum?id=BJOFETxR-
"We study the problem of generating source code in a strongly typed,
        Java-like programming language, given a label (for example a set of
        API calls or types) carrying a small amount of information about the
        code that is desired. The generated programs are expected to respect a
        `""realistic"" relationship between programs and labels, as exemplified
        by a corpus of labeled programs available during training.
        
        Two challenges in such *conditional program generation* are that
        the generated programs must satisfy a rich set of syntactic and
        semantic constraints, and that source code contains many low-level
        features that impede learning.  We address these problems by training
        a neural generator not on code but on *program sketches*, or
        models of program syntax that abstract out names and operations that
        do not generalize across programs. During generation, we infer a
        posterior distribution over sketches, then concretize samples from
        this distribution into type-safe programs using combinatorial
        techniques.  We implement our ideas in a system for generating
        API-heavy Java code, and show that it can often predict the entire
        body of a method given just a few API calls or data types that appear
        in the method.",['Vijayaraghavan Murali · Letao Qi · Swarat Chaudhuri · Chris   Jermaine'],"Program generation, Source code, Program synthesis, Deep generative models","Feb 15, 2018 (modified: Feb 24, 2018)",['Neural Sketch Learning for Conditional Program Generation'],"We give a method for generating type-safe programs in a Java-like language, given a small amount of syntactic information about the desired code.",Oral,https://openreview.net/forum?id=HkfXMz-Ab
"Deep Neural Networks (DNNs) have recently been shown to be vulnerable against adversarial examples, which are carefully crafted instances that can mislead DNNs to make errors during prediction. To better understand such attacks, a characterization is needed of the properties of regions (the so-called `adversarial subspaces') in which adversarial examples lie. We tackle this challenge by characterizing the dimensional properties of adversarial regions, via the use of Local Intrinsic Dimensionality (LID). LID assesses the space-filling capability of the region surrounding a reference example, based on the distance distribution of the example to its neighbors. We first provide explanations about how adversarial perturbation can affect the LID characteristic of adversarial regions, and then show empirically that LID characteristics can facilitate the distinction of adversarial examples generated using state-of-the-art attacks. As a proof-of-concept, we show that a potential application of LID is to distinguish adversarial examples, and the preliminary results show that it can outperform several state-of-the-art detection measures by large margins for five attack strategies considered in this paper across three benchmark datasets. Our analysis of the LID characteristic for adversarial regions not only motivates new directions of effective adversarial defense, but also opens up more challenges for developing new attacks to better understand the vulnerabilities of DNNs.",['Xingjun Ma · Bo Li · Yisen Wang · Sarah Erfani · Sudanthi Wijewickrema · Grant Schoenebeck · dawn song · Michael E Houle · James Bailey'],"Adversarial Subspace, Local Intrinsic Dimensionality, Deep Neural Networks","Feb 15, 2018 (modified: Mar 23, 2018)",['Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality'],We characterize the dimensional properties of adversarial subspaces in the neighborhood of adversarial examples via the use of Local Intrinsic Dimensionality (LID).,Oral,https://openreview.net/forum?id=B1gJ1L2aW
"Neural networks are vulnerable to adversarial examples and researchers have proposed many heuristic attack and defense mechanisms. We address this problem through the principled lens of distributionally robust optimization, which guarantees performance under adversarial input perturbations.  By considering a Lagrangian penalty formulation of perturbing the underlying data distribution in a Wasserstein ball, we provide a training procedure that augments model parameter updates with worst-case perturbations of training data. For smooth losses, our procedure provably achieves moderate levels of robustness with little computational or statistical cost relative to empirical risk minimization. Furthermore, our statistical guarantees allow us to efficiently certify robustness for the population loss. For imperceptible perturbations, our method matches or outperforms heuristic approaches.
        ",['Aman Sinha · Hong Namkoong · John   Duchi'],"adversarial training, distributionally robust optimization, deep learning, optimization, learning theory","Feb 15, 2018 (modified: Feb 24, 2018)",['Certifying Some Distributional Robustness with Principled Adversarial Training'],"We provide a fast, principled adversarial training procedure with computational and statistical performance guarantees.",Oral,https://openreview.net/forum?id=Hk6kPgZA-
